k,precision0,recall0,f1-score_0,support0,precision1,recall1,f1-score_1,support1,accuracy,total,time_taken
1,1.00,0.74,0.85,368534,0.01,0.73,0.03,1945,0.74,370479,838 s
2,1.00,0.74,0.85,368534,0.01,0.73,0.03,1945,0.74,370479,922 s
3,1.00,0.77,0.87,368534,0.02,0.70,0.03,1945,0.77,370479,873 s
4,1.00,0.78,0.87,368534,0.02,0.71,0.03,1945,0.78,370479,693 s
5,1.00,0.79,0.88,368534,0.02,0.69,0.03,1945,0.79,370479,632 s
6,1.00,0.79,0.88,368534,0.02,0.69,0.03,1945,0.79,370479,605 s
7,1.00,0.79,0.88,368534,0.02,0.68,0.03,1945,0.79,370479,529 s
8,1.00,0.79,0.88,368534,0.02,0.68,0.03,1945,0.79,370479,568 s
9,1.00,0.79,0.88,368534,0.02,0.67,0.03,1945,0.79,370479,799 s
10,1.00,0.78,0.88,368534,0.02,0.67,0.03,1945,0.78,370479,1050 s
11,1.00,0.78,0.88,368534,0.02,0.67,0.03,1945,0.78,370479,1054 s
12,1.00,0.78,0.88,368534,0.02,0.66,0.03,1945,0.78,370479,979 s
13,1.00,0.78,0.87,368534,0.02,0.65,0.03,1945,0.78,370479,691 s
14,1.00,0.78,0.87,368534,0.02,0.65,0.03,1945,0.78,370479,711 s
15,1.00,0.78,0.87,368534,0.02,0.65,0.03,1945,0.78,370479,736 s
100,1.00,0.76,0.86,368534,0.01,0.61,0.03,1945,0.76,370479,797 s
